id,room,shape,color,position_x,position_z,name_en,name_id,origin_en,origin_id,era_en,era_id,description_en,description_id
prambanan,kingdom,wall,#7e786b,10.85,0,Prambanan Temple Relief,Relief Candi Prambanan,"Sleman, Yogyakarta","Sleman, Yogyakarta",10th Century,Abad ke-10,"Prambanan (Indonesian: Candi Prambanan, Javanese: Rara Jonggrang, Hanacaraka: ꦫꦫꦗꦺꦴꦁꦒꦿꦁ) is a 9th-century Hindu temple compound in the Special Region of Yogyakarta, in southern Java, Indonesia, dedicated to the Trimūrti, the expression of God as the Creator (Brahma), the Preserver (Vishnu) and the Destroyer (Shiva). The temple compound is located approximately 17 kilometres (11 mi) northeast of the city of Yogyakarta on the boundary between Central Java and Yogyakarta provinces. The temple compound, a UNESCO World Heritage Site, is the largest Hindu temple site in Indonesia and the second-largest in Southeast Asia after Angkor Wat. It is characterized by its tall and pointed architecture, typical of Hindu architecture, and by the towering 47-metre-high (154 ft) central building inside a large complex of individual temples.","Candi Prambanan (bahasa Jawa: ꦕꦟ꧀ꦝꦶꦥꦿꦩ꧀ꦧꦤꦤ꧀code: jv is deprecated , translit. Caṇḍi Prambanan) adalah bangunan candi bercorak agama Hindu terbesar di Indonesia yang dibangun pada abad ke-9 Masehi. Candi yang juga disebut sebagai Rara Jonggrang ini dipersembahkan untuk Trimurti, tiga dewa utama Hindu yaitu dewa Brahma sebagai dewa pencipta, dewa Wisnu sebagai dewa pemelihara, dan dewa Siwa sebagai dewa pemusnah. Berdasarkan prasasti Siwagrha nama asli kompleks candi ini adalah Siwagrha (bahasa Sanskerta yang bermakna 'Rumah Siwa'), dan memang di garbagriha (ruang utama) candi ini bersemayam arca Siwa Mahadewa setinggi tiga meter, karena aliran Syaiwa mengutamakan pemujaan dewa Siwa di candi ini."
voc-map,colonial,wall,#a89373,-10.85,-2,VOC Trade Map,Peta Dagang VOC,Dutch East India Company,Vereenigde Oostindische Compagnie,1670,1670,"The United East India Company (Dutch: Vereenigde Oostindische Compagnie [vərˈeːnɪɣdə oːstˈɪndisə kɔmpɑˈɲi]; abbr. VOC [veː(j)oːˈseː]), commonly known as the Dutch East India Company, was a chartered trading company and one of the first joint-stock companies in the world. Established on 20 March 1602 by the States General of the Netherlands amalgamating existing companies, it was granted a 21-year monopoly to carry out trade activities in Asia. Shares in the company could be purchased by any citizen of the Dutch Republic and bought and sold in open-air secondary markets, one of which became the Amsterdam Stock Exchange.","Perusahaan Hindia Timur Belanda, secara resmi bernama Perserikatan Perusahaan Hindia Timur (bahasa Belanda: Vereenigde Oostindische Compagniecode: nl is deprecated ; disingkat VOC) didirikan pada 20 Maret 1602. VOC adalah persekutuan dagang asal Belanda yang memiliki monopoli untuk aktivitas perdagangan di Asia. Disebut Hindia Timur karena ada pula Geoctroyeerde Westindische Compagnie yang merupakan persekutuan dagang untuk kawasan Hindia Barat. Perusahaan ini dianggap sebagai perusahaan multinasional pertama di dunia  sekaligus merupakan perusahaan pertama yang mengeluarkan sistem pembagian saham."
diponegoro-kris,colonial,sword,#2f2418,-6,-4,Kiai Naga Siluman,Kiai Naga Siluman,"Java War, Yogyakarta","Perang Jawa, Yogyakarta",1825–1830,1825–1830,"Prince Diponegoro (Javanese: ꦢꦶꦥꦤꦼꦒꦫ, romanized: Dipånegårå; born Bendara Raden Mas Mustahar, ꦧꦼꦤ꧀ꦢꦫꦫꦢꦺꦤ꧀ꦩꦱ꧀ꦩꦸꦱ꧀ꦠꦲꦂ; later Bendara Raden Mas Antawirya, ꦧꦼꦤ꧀ꦢꦫꦫꦢꦺꦤ꧀ꦩꦱ꧀ꦲꦤ꧀ꦠꦮꦶꦂꦪ; 11 November 1785 – 8 January 1855), also known as Dipanegara and Dipa Negara, was a Javanese prince who opposed the Dutch colonial rule. The eldest son of the Yogyakarta Sultan Hamengkubuwono III, he played an important role in the Java War between 1825 and 1830. After his defeat and capture, he was exiled to Makassar, where he died at 69 years old. His five-year struggle against the Dutch control of Java has become celebrated by Indonesians throughout the years, acting as a source of inspiration for the fighters in the Indonesian National Revolution and nationalism in modern-day Indonesia among others.","Pangeran Diponegoro (Bahasa Jawa: ꦣꦶꦥꦤꦒꦫ, Dipanagara; lahir sebagai Bendara Raden Mas Mustahar; kemudian Bendara Raden Mas Antawirya ꦧꦼꦤ꧀ꦢꦫꦫꦢꦺꦤ꧀ꦩꦱ꧀ꦲꦤ꧀ꦠꦮꦶꦂꦪ; 11 November 1785 – 8 Januari 1855) adalah seorang pangeran Jawa yang menentang pemerintahan kolonial Belanda. Putra sulung Hamengkubuwana III ini memegang peranan penting dalam Perang Jawa tahun 1825 hingga 1830. Setelah kalah dan tertangkap, ia diasingkan ke Manado dan Makassar, dan meninggal di Makassar pada usia 69 tahun. Perjuangannya selama lima tahun melawan kekuasaan Belanda di Jawa telah dirayakan oleh masyarakat Indonesia selama bertahun-tahun, menjadi sumber inspirasi bagi para pejuang Revolusi Nasional Indonesia dan nasionalisme di Indonesia modern antara lain."
old-photo,colonial,wall,#7a6a5a,10.85,-2,Batavia Photograph,Foto Batavia,Batavia (Jakarta),Batavia (Jakarta),c. 1890,± 1890,"Batavia was an imperial Dutch port city that eventually, after two centuries of Dutch occupation, became the capital of the Dutch East Indies. The area corresponds to present-day Jakarta, Indonesia. Batavia can refer to the city proper or its suburbs and hinterland, the Ommelanden, which included the much larger area of the Residency of Batavia in the present-day Indonesian provinces of Jakarta Banten and West Java. The founding of Batavia by the Dutch in 1619, on the site of the ruins of Jayakarta, led to the establishment of a Dutch colony; Batavia became the center of the Dutch East India Company's trading network in Asia.","Batavia adalah ibu kota Hindia Belanda. Wilayahnya setara dengan Jakarta saat ini, Indonesia. Batavia dapat merujuk pada kota itu sendiri atau pinggiran kota dan daerah pedalamannya, Ommelanden, yang mencakup wilayah yang jauh lebih luas dari Keresidenan Batavia di provinsi-provinsi Indonesia saat ini, yaitu Jakarta, Banten, dan Jawa Barat. Pendirian Batavia oleh Belanda pada tahun 1619, di lokasi reruntuhan Jayakarta, menyebabkan berdirinya koloni Belanda; Batavia menjadi pusat jaringan perdagangan Perusahaan Hindia Timur Belanda di Asia."
hasanuddin-helmet,colonial,texture,#6b583f,6,-4,Sultan Hasanuddin Helmet,Helm Sultan Hasanuddin,"Kingdom of Gowa, South Sulawesi","Kerajaan Gowa, Sulawesi Selatan",17th Century,Abad ke-17,"Sultan Hasanuddin (Sultan Hasanuddin Tumenanga Ri Balla Pangkana; (12 January 1631 – 12 June 1670) was the 16th Ruler of The Sultanate of Gowa as Sombaya Ri Gowa XVI from 1653 to 1669. He was proclaimed as Indonesian National Hero on 6 November 1973. The Dutch called Sultan Hasanuddin ""the Rooster of the East"" as he was described as aggressive in battle.","Sultan Hasanuddin (Dijuluki Ayam Jantan dari Timur oleh Belanda) (12 Januari 1631 – 12 Juni 1670) adalah Sultan Gowa ke-16 dan pahlawan nasional Indonesia yang terlahir dengan nama Muhammad Bakir I Mallombasi Daeng Mattawang Karaeng Bonto Mangape. Setelah menaiki takhta, ia diberi gelar Sultan Hasanuddin, setelah meninggal ia digelar Tumenanga Ri Balla Pangkana. Karena keberaniannya, ia dijuluki De Haantjes van Het Osten oleh Belanda yang artinya Ayam Jantan dari Timur. Ia dimakamkan di Katangka, Kabupaten Gowa."
banda-spices,colonial,texture,#5c704f,-6,4,Banda Nutmeg Artifact,Artefak Pala Banda,"Banda Islands, Maluku","Kepulauan Banda, Maluku",16th-18th Century,Abad ke-16 - ke-18,"The Banda Islands (Indonesian: Kepulauan Banda) are a volcanic group of ten small islands in the Banda Sea, about 140 km (87 mi) south of Seram Island and about 2,000 km (1,243 mi) east of Java, and constitute an administrative district (kecamatan) within the Central Maluku Regency in the Indonesian province of Maluku. The islands rise out of 4-to-6-kilometre (2.5 to 3.7 mi) deep ocean and have a total land area of approximately 172 square kilometres (66 sq mi); with associated maritime area this reaches 736.3 square kilometres (284.3 sq mi). They had a population of 18,544 at the 2010 Census and 20,924 at the 2020 Census; the official estimate as of mid-2023 was 21,902. Until the mid-19th century the Banda Islands were the world's only source of the spices nutmeg and mace, produced from the nutmeg tree.","Kepulauan Banda adalah salah satu gugusan pulau yang berada dalam wilayah Maluku, Indonesia. Kepulauan Banda termasuk dalam wilayah Kecamatan Banda dengan wilayah administratif daratan seluas 55,3 km2. Pada tahun 2000, mayoritas produksi pala dunia masih berasal dari Kepulauan Banda. Kepulauan Banda terdiri atas beberapa pulau, seperti Pulau Lontor, Pulau Banda, Pulau Banda Api, Pulau Ai, Pulau Run, Pulau Pisang, Pulau Hatta, dan Pulau Karaba."
proklamasi,independence,wall,#e8d6a3,-10.85,-2,Proclamation Text,Teks Proklamasi,Jakarta,Jakarta,17 August 1945,17 Agustus 1945,"The Proclamation of Indonesian Independence (Indonesian: Proklamasi Kemerdekaan Indonesia, or simply Proklamasi) was read at 10:00 Tokyo Standard Time on Friday, 17 August 1945 in Jakarta. The declaration marked the start of the diplomatic and armed resistance of the Indonesian National Revolution, fighting against the forces of the Netherlands and pro-Dutch civilians, until the latter officially acknowledged Indonesia's independence in 1949. The document was signed by Sukarno and Mohammad Hatta, who were appointed president and vice-president respectively the following day. The date of the Proclamation of Indonesian Independence was made a public holiday by a government decree issued on 18 June 1946.","Proklamasi Kemerdekaan Indonesia dibacakan oleh Soekarno dengan didampingi oleh Mohammad Hatta pada pukul 10:00 Waktu Standar Tokyo hari Jumat, 17 Agustus 1945 di sebuah rumah di Jalan Pegangsaan Timur No. 56, Jakarta Pusat. Pembacaan proklamasi ini menandai dimulainya perlawanan diplomatik dan bersenjata dari Revolusi Nasional Indonesia, yang berperang melawan pasukan Belanda dan warga sipil pro-Belanda, hingga Belanda secara resmi mengakui kemerdekaan Indonesia pada tahun 1949. Naskah Proklamasi ditandatangani oleh Soekarno dan Mohammad Hatta, yang masing-masing diangkat menjadi presiden dan wakil presiden keesokan harinya."
merah-putih,independence,wall,#c0392b,10.85,-2,Sang Saka Merah Putih,Sang Saka Merah Putih,Sewn by Fatmawati,Dijahit oleh Fatmawati,1945,1945,"The national flag of Indonesia is bicolor, with two horizontal bands, red (top) and white (bottom) with an overall ratio of 2:3. It was introduced and hoisted in public during the proclamation of independence on 17 August 1945 at 56 Jalan Proklamasi (formerly Jalan Pegangsaan Timur) in Jakarta, and again when the Dutch formally transferred sovereignty on 27 December 1949. The design of the flag has remained unchanged since. The flag of Indonesia is graphically similar to the flag of Monaco, with a slight difference in the shade of red, and ratio of its dimensions.","Bendera Indonesia (disingkat bendera negara) atau biasa juga disebut Sang Merah Putih, (Sang Saka Merah Putih, Merah Putih, atau kadang Sang Dwiwarna (dua warna)) adalah bendera negara Indonesia dengan dua warna, dengan dua garis horizontal, merah (atas) dan putih (bawah) dengan rasio keseluruhan 2:3. Bendera negara berbentuk empat persegi panjang dengan ukuran lebar 2/3 (dua-pertiga) dari panjang dengan bagian atas berwarna merah dan bagian bawah berwarna putih yang kedua bagiannya berukuran sama. Bendera ini diperkenalkan dan dikibarkan di depan umum pada saat proklamasi kemerdekaan pada 17 Agustus 1945 di Jalan Proklamasi 56 (sebelumnya Jalan Pegangsaan Timur) di Jakarta, dan sekali lagi ketika Belanda secara resmi menyerahkan kedaulatan pada 27 Desember 1949. Desain bendera tersebut tetap tidak berubah sejak saat itu."
soekarno-speech,independence,book,#3a2a1a,-6,-4,Soekarno's Speeches,Pidato Soekarno,Office of the President,Kantor Presiden,1945–1965,1945–1965,"Sukarno (born Koesno Sosrodihardjo; 6 June 1901 – 21 June 1970) was an Indonesian statesman, activist, and revolutionary who served as the first president of Indonesia from 1945 to 1967. Sukarno was the leader of the Indonesian struggle for independence from the Dutch colonialists. He was a prominent leader of Indonesia's nationalist movement during the colonial period and spent over a decade under Dutch detention until released by the invading Japanese forces in World War II. Sukarno and his fellow nationalists collaborated to garner support for the Japanese war effort from the population, in exchange for Japanese aid in spreading nationalist ideas.","Ir. Soekarno (Ejaan Republik: Sukarno; 6 Juni 1901 – 21 Juni 1970), dikenal juga dengan sapaan Bung Karno, adalah seorang negarawan, orator, dan Presiden Indonesia pertama yang menjabat sejak tahun 1945 sampai 1967. Ia menjabat sebagai presiden setelah memproklamasikan kemerdekaan Indonesia bersama wakilnya, Mohammad Hatta. Selain dikenal sebagai ""Bapak Proklamator"", Soekarno dikenal juga sebagai pencetus Pancasila, dasar negara dan ideologi bangsa Indonesia."
surabaya-spear,independence,texture,#9c3b28,6,-4,Surabaya Bamboo Spear,Bambu Runcing Surabaya,"Surabaya, East Java","Surabaya, Jawa Timur",November 1945,November 1945,"The Battle of Surabaya (Javanese: ꦦꦺꦂꦠꦺꦩ꧀ꦥꦸꦫꦤ꧀ ꦯꦸꦫꦧꦪ; Indonesian: Pertempuran Surabaya) was a major battle in the Indonesian National Revolution fought between regular infantry and militia of the Indonesian nationalist movement and British and British Indian troops against the re-imposition of Dutch colonial rule. The peak of the battle was in November 1945, and was the largest single battle of the revolution and became a national symbol of Indonesian resistance. Considered a heroic effort by Indonesians, the battle helped galvanise Indonesian and international support for Indonesian independence. 10 November is celebrated annually as Heroes' Day (Hari Pahlawan).","Pertempuran Surabaya (Jawa: ꦦꦺꦂꦠꦺꦩ꧀ꦥꦸꦫꦤ꧀ ꦯꦸꦫꦧꦪ; Inggris: Battle of Surabaya) merupakan pertempuran antara pasukan pejuang Indonesia yang diorganisasi oleh mantan pasukan anggota Pembela Tanah Air yang dibentuk oleh Pasukan Jepang dan Polisi Istimewa di waktu masa Pendudukan Jepang di Indonesia (yang dulunya Hindia Belanda) pada saat itu, yang bertujuan untuk mencegah pasukan sekutu pasca Jepang menyerah tanpa syarat kepada sekutu  di Perang Pasifik yang mendarat di kota Surabaya yang terdiri dari pasukan Kekaisaran Britania dengan sukarelawan Persemakmuran Britania yakni Angkatan Darat India Britania dengan mendapatkan dukungan khusus oleh tentara Kekaisaran Belanda. Puncaknya terjadi pada tanggal 10 November 1945. Pertempuran ini adalah perang pertama pasukan Indonesia dengan pasukan Sekutu  setelah Proklamasi Kemerdekaan Indonesia dan satu pertempuran terbesar dan terberat dalam sejarah Revolusi Nasional Indonesia yang menjadi simbol nasional atas perlawanan Indonesia terhadap kolonialisme dan Imperialisme. Usai pertempuran ini, dukungan rakyat Indonesia dan dunia internasional terhadap perjuangan kemerdekaan Indonesia makin kuat."
bung-tomo-radio,independence,texture,#52433f,-6,4,Bung Tomo's Radio Transceiver,Pemancar Radio Bung Tomo,Surabaya Broadcast Studio,Studio Siaran Surabaya,1945 Resistance,Perjuangan 1945,"Sutomo (3 October 1920 – 7 October 1981), also known as Bung Tomo (meaning Comrade or Brother Tomo), was an Indonesian revolutionary and military leader best known for his role in the Indonesian National Revolution against Dutch colonial rule. He played a central role in the Battle of Surabaya, which was fought between British and Indonesian forces from October to November 1945.","Sutomo (3 Oktober 1920 – 7 Oktober 1981), juga dikenal sebagai Bung Tomo, adalah seorang pemimpin revolusioner dan militer Indonesia yang terkenal karena perannya dalam Revolusi Nasional Indonesia melawan pemerintahan kolonial Belanda. Dia memainkan peran sentral dalam Pertempuran Surabaya, yang terjadi antara pasukan Britania Raya dan Indonesia dari bulan Oktober hingga November 1945."
